U set;U ctul;I set;I ctul;P set;P ctul;R set;R ctul;R mode;Output/Input;Deice mode;Error;Time
40;3.53;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:27.640
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:32.640
40;3.59;0.1;0.122;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:37.640
40;3.55;0.1;0.122;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:42.640
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:47.640
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:52.640
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:09:57.640
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:02.640
40;3.59;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:07.640
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:12.640
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:17.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:22.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:27.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:32.640
40;3.58;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:37.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:42.639
40;3.56;0.1;0.114;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:47.639
40;3.59;0.1;0.12;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:52.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:10:57.640
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:02.639
40;3.56;0.1;0.112;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:07.639
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:12.639
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:17.639
40;3.59;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:22.639
40;3.55;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:27.639
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:32.639
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:37.639
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:42.639
40;3.55;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:47.639
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:52.639
40;3.56;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:11:57.639
40;3.55;0.1;0.12;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:02.639
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:07.639
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:12.639
40;3.57;0.1;0.121;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:17.639
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:22.639
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:27.639
40;3.54;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:32.639
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:37.639
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:42.639
40;3.58;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:47.638
