U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:32.454
40.00V;2.96V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:37.458
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:42.461
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:47.456
40.00V;2.96V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:52.457
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:57.464
40.00V;2.96V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:02.459
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:07.456
40.00V;2.99V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:12.460
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:17.458
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:22.463
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:27.469
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:32.477
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:37.477
40.00V;2.99V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:42.481
40.00V;2.97V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:47.476
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:52.483
40.00V;2.97V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:57.478
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:02.484
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:07.477
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:12.474
40.00V;2.95V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:17.478
40.00V;2.96V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:22.489
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:27.492
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:32.488
40.00V;2.97V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:37.491
40.00V;2.98V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:42.497
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:47.495
40.00V;2.96V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:52.493
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:50:57.498
40.00V;2.97V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:02.505
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:07.513
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:12.510
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:17.512
40.00V;2.97V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:22.507
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:27.517
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:32.505
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:37.507
40.00V;3.00V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:42.506
40.00V;2.96V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:47.513
40.00V;2.95V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:52.514
40.00V;2.95V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:51:57.512
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:02.505
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:07.511
40.00V;2.95V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:12.517
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:17.508
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:22.506
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:27.510
40.00V;2.97V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:32.508
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:37.503
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:42.512
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:47.510
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:52.507
40.00V;2.97V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:52:57.505
40.00V;2.93V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:02.511
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:07.515
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:12.506
40.00V;2.95V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:17.507
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:22.508
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:27.512
40.00V;2.96V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:32.507
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:37.518
40.00V;2.96V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:42.504
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:47.517
40.00V;2.95V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:52.518
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:53:57.516
40.00V;2.96V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:02.504
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:07.508
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:12.510
40.00V;2.95V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:17.513
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:22.509
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:27.516
40.00V;2.92V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:32.509
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:37.521
40.00V;2.91V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:42.520
